,Name,Active,Summary
340,Peter Kurten,"   Active for 18 years   (1913-1930) in German Empire, Germany, German republic"," Peter Kurten (Peter Kürten) a German serial killer known as The vampire of Düsseldorf and the Düsseldorf Monster. Kurten stated his primary motive was one of sexual pleasure associated with violent acts and that the sight of blood sexual stimulated him. In 1930, Kürten was arrested and confessed to multiple charges including a total of ten murders. He was charged with nine murders and seven attempted murders. Kürten was found guilty and sentenced to death for the nine murders. In 1932, Peter Kurten was executed at the Klingelputz Prison in Cologne, Germany. Kurten's mummified head is currently on display at the Ripley's Believe It or Not! museum in Wisconsin Dells, Wisconsin. "
341,Lam Kwok-wai,   Active for 1 year   (1993) in Hong Kong," Lam Kwok-wai a Chinese serial killer and rapist known as The Tuen Mun rapist . Lam Kwok-wai was convicted of ten rapes and three murders that he committed with his bare hands. Lam Kwok-wai is one of two only known serial killers in Hong Kong, the other is Lam Kor-wan. "
342,Henri Désiré Landru,   Active for 5 years   (1915-1919) in France," Henri Désiré Landru Nicknamed ""Bluebeard"", ""Bluebeard of Gambais"" he put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least ten women and the teenaged son of one of them, and burned their bodies after he had gained access to their assets. Vincent de Moro-Giafferi, one of Landrus lawyers, later represented Eugen Weidmann. Landru was convicted on all counts, sentenced to death, and guillotined. "
343,Adam Leroy Lane,   Active for 1 year   (2007) in United States," Adam Leroy Lane an American serial killer known as the Highway Killer. Lane worked as a trucker through the Northeast. In 2007, Lane broke in to a home attacked a 15-year-old girl with a knife, her parents awoke and were able to subdue the Lane. Chelmsford Police arrived at the scene, and arrested Lane. Authorities connected Lanes New Jersey and Massachusetts attacks to a pair of similar attacks in Pennsylvania. Authorities also suspect he is involved with other murders in other parts of the country including the 1996 shooting death of an officer, Lane was never charged. Adam Leroy Lane was ultimately sentenced to life imprisonment for the murder in Pennsylvania. "
344,Claude Lastennet,   Active for 2 years   (1993-1994) in France, Claude Lastennet a French serial killer. Lastennet was convicted of murdering five old women between August 1993 and January 1994. 
345,Francisco Antonio Laureana,   Active for 2 years   (1974-1975) in Argentina," Francisco Antonio Laureana an alleged Argentine rapist and serial killer known as the Satyr of San Isidro. Laureana is suspected of the rape of fifteen women, of whom he is suspected of murdering thirteen between 1974 and 1975. Some victims were raped and strangled while other victims were shot with a .32 caliber revolver. Francisco Antonio Laureana was killed in a shootout with the Buenos Aires police in 1975. After his death police found personal items from his victims in a boot at Laureana's home, connecting him to the crimes. "
346,Martin Lecián,   Active for 1 year   (1927) in Czech Republic," Martin Lecián a Czech serial killer who responsible for killing 3 policemen and 1 prison officer. Lecián was arrested, convicted and executed in 1927. "
347,Derrick Todd Lee,   Active for 11 years   (1992-2002) in United States," Derrick Todd Lee an American serial killer and rapist known as the Baton Rouge Serial Killer and the South Louisiana Serial Killer. Lee was linked by DNA evidence to the deaths of seven women in Baton Rouge and Lafayette, Louisiana between 1992 and 2002. Lee is believed to have murdered several other women in Louisiana, Mississippi and Alabama. Fellow serial killer Sean Vincent Gillis was active in the Baton Rouge area during the same time period as Lee. Lee scored an average of 65 on various standardized IQ tests. Lee was convicted of three of the murders and sentenced to death by lethal injection in 2004. In 2016, Derrick Todd Lee died of heart disease at the Lane Regional Medical Center in Zachary, Louisiana. "
348,Bruce George Peter Lee,   Active for 7 years   (1973-1979) in United Kingdom," Bruce George Peter Lee (born Peter George Dinsdale) an English serial killer who confessed to a total of 11 acts of arson, and was convicted of 26 counts of manslaughter. A study from Radford University states he had an IQ of 68. "
349,Cody Legebokoff,   Active for 2 years   (2009-2010) in Canada," Cody Legebokoff (Cody Alan Legebokoff) a Canadian serial killer and rapist known as The Country Boy Killer. Legebokoff murdered three women and a teenage girl between 2009 and 2010 in British Columbia, Canada. One victim was included as a suspected victim in the Highway of Tears murders. He used the handle 1CountryBoy on a Canadian social-networking site named Nexopia. He is one of Canada's youngest serial killers the youngest was Peter Woodcock who was only 17 years old when he was active in Canada. In 2014, Legebokoff was sentenced to life in prison with no parole for twenty-five years. In 2019, Cody Legebokoff was transferred from the maximum security Kent Institution in British Columbia to the medium security Warkworth Institution in Ontario. "
350,Allan Joseph Legere,   Active for 1 year   (1989) in Canada," Allan Joseph Legere Convicted of killing five people in the Miramichi area, New Brunswick. Legere is now serving a life sentence Canada's only super maximum prison (Special Handling Unit). "
351,Eddie Leonski,   Active for 1 year   (1942) in Australia," Eddie Leonski (Edward Joseph Leonski) an American soldier and serial killer known as The Brownout Strangler. Leonski confessed to the strangulation, rape and murder of three women in Melbourne, Australia. He was picked from a lineup of American servicemen by the uncle of one of his victims. Leonski claimed he killed to obtain the voices of his victims. Leonski's crimes were committed in Australia, but his trial was conducted under American military law. Leonski confessed to three murders and was sentenced to death. In 1942, Eddie Leonski was executed by hanging at Her Majesty's Prison Pentridge in Coburg, Victoria, Australia. "
352,Celine Lesage,   Active for 8 years   (2000-2007) in France, Celine Lesage Killed seven of her newborn babies and sentenced to 15 years in prison. 
353,Robin Ligus,   Active for 1 year   (1994) in United Kingdom, Robin Ligus (Robin Stanislaw Ligus) an English serial killer mental patient and drug addict known as the Shropshire murderer. Ligus was convicted of robbing and bludgeoning three men to death with an iron bar in Shropshire in 1994. Robin Ligus was preventive detained in a secure mental hospital in 2011. 
354,Samuel Little,   Active for 36 years   (1970-2005) in United States," Samuel Little an American serial killer also known as Samuel McDowell. Little claims to have killed as many as ninety people. He was convicted of three murders in California from 1987 to 1989 and was sentenced to life imprisonment without possibility of parole. In November of 2018 Little confessed to ninety murders across fourteen states between 1970 and 2005. California authorities have confirmed Little as a murder suspect in sixty cases across fourteen states from as early as 1981, and are working to match the remaining confessions to known murders or suspicious deaths. "
355,Michael Lee Lockhart,   Active for 2 years   (1987-1988) in United States," Michael Lee Lockhart an American serial killer known as The Perfect Gentleman. Lockhart received death sentences in three separate states Florida, Indiana, and Texas. He would rape stab and mutilate his victims, he shot at least one of his victims. Lockhart was convicted of the capital murder of police officer Paul Hulsey Jr. in Beaumont, Texas. He was also implicated in the sexual assault, murder and mutilation of 16-year-old Wendy Gallagher in Griffith, Indiana, 14-year-old Jennifer Colhouer in Land O' Lakes, Florida and the sexual assault of Lockhart's former wife in Toled. In 1997, Michael Lee Lockhart was executed by lethal injection at the Texas State Penitentiary at Huntsville, Texas. "
356,Bobby Joe Long,   Active for 1 year   (1984) in United States," Bobby Joe Long an American serial killer and rapist known as The Classified Ad rapist , The Adman rapist and Robert Joe Long. Long abducted, sexually assaulted, and murdered at least ten women in the Tampa Bay Area in Tampa Bay, Florida in 1984. Long's victims were strangled and/or asphyxiated, one victim died of a knife cut to the throat. He was in possession of a firearm during his crimes and shot at least one of his victims. Long was a distant cousin of fellow serial killer Henry Lee Lucas. Long confessed to the murders and was sentenced to death in1986. In 2019, Bobby Joe Long was executed by lethal injection Union Correctional Institution in Raiford, Florida. "
357,Pedro Lopez,"   Active for 34 years   (1969-2002) in Colombia, Ecuador, Peru"," Pedro Lopez (Pedro Alonso López) a Colombian serial killer and rapist known as The Monster of the Andes. López targeted young girls in Colombia, Ecuador and Peru between 1969 and 2002. He was arrested in 1980 and later convicted in 1983 of killing 110 young girls in Ecuador. López confessed to killing at least 300 victims. In 1994, Lopez was released from an Ecuadorian prison. He was rearrest and sent to a Colombian psychiatric hospital. López was released from the psychiatric hospital in 1998. In 2002, López was suspected of murder by Colombian authorities. "
358,Emile Louis,   Active for 4 years   (1975-1978) in France," Emile Louis a suspected French serial killer and bus driver that preyed on young handicapped women (seven murders) in the 1970s. Louis confessed to the murders, later retracting his confession. Louis was sentenced to life in prison on November 25th 2004. "
359,John Ingvar Lovgren,   Active for 6 years   (1958-1963) in Sweden," John Ingvar Lovgren (John Ingvar Lövgren) a Swedish serial killer and rapist known as Flickmördaren, The Girl Killer. Lovgren confessed to four murders committed between 1958 and 1963 in the Stockholm region. He would assault, rape and beat his victims to death with a rock. Lovgren was never convicted for one of the murders and the case has since been closed, authorities consider the case solved with Lovgren as the assailant. In 1964, Lovgren was convicted for three of the murders and preventively detained at the Salberga psychiatric hospital, Salberga has been ran as a prison facility since 1997. In 2002, John Ingvar Lovgren died from complications with cancer, he was no longer in threatment because of his poor health. "
360,Henry Lee Lucas,   Active for 24 years   (1960-1983) in United States," Henry Lee Lucas an American drifter and serial killer known as The Confession Killer and The Highway Stalker. Lucas was convicted of eleven murders. Although he confessed to over 3,000 murders most are belived to be false confessions. Lucas befriended fellow serial killer Ottis Toole, and settled in Jacksonville, Florida where he lived with Toole's parents. On March 12, 2001, Henry Lee Lucas was found dead in prison from heart failure. "
361,Pedro Pablo Nakada Ludeña,   Active for 2 years   (2005-2006) in Peru," Pedro Pablo Nakada Ludeña Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). convicted of 17 murders and claimed 25. Sentenced to 35 years in prison. "
362,Peter Lundin,   Active for 10 years   (1991-2000) in Denmark," Peter Lundin (Peter Kenneth Bostrøm Lundin) a Danish serial killer also know as Bjarne Skounborg and Thomas Kristian Olesen. Lundin killed his own mother in 1991, then killed his mistress and her two children nine years later. In 2001, Peter Lundin was sentenced to life imprisonment. "
363,Michael Lupo,   Active for 1 year   (1986) in United Kingdom," Michael Lupo (Michael del Marco Lupo) an Italian born serial killer who was active in the United Kingdom. Lupo would call himself The Wolf Man. Lupo murdered four men after being diagnosed with HIV. In 1995, Michael Lupo died in prison from an AIDS related illness. "
364,Maoupa Cedric Maake,   Active for 2 years   (1996-1997) in South Africa," Maoupa Cedric Maake a South African serial killer known as the Wemmer Pan Killer and Hammer Killer. He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered with a hammer. Maake was arrested after Moses Sithole was found guilty of thirty-eight killings and sentenced to 1,340 years in prison. In 2000, Maake was convicted of twenty-seven murders, twenty-six attempted murders, fourteen rapes and other less serious offenses. Maoupa Cedric Maake was sentenced to twenty-seven life sentences. "
365,Bulelani Mabhayi,   Active for 6 years   (2007-2012) in South Africa," Bulelani Mabhayi a South African serial killer and rapist known as the Monster of Tholeni. Mabhayi killed eleven women and nine children in the Eastern Cape of South Africa from 2007 to 2012. Nineteen victims were murdered in the village of Tholeni and one victim in another nearby village. Mabhayi would breaking into homes and rape some of his victims killing all of them with an axe or panga. His victims ranged in aged from 14-months-old to 79 years of age. Bulelani Mabhayi was found guilty of twenty counts of murder, six rapes and ten burglaries. In 2013, Bulelani Mabhayi was sentenced to twenty-five years to life imprisonment. "
366,William MacDonald,   Active for 2 years   (1961-1962) in Australia," William MacDonald (born Allan Ginsberg) an Australian serial killer known as the The Sydney Mutilator. MacDonald claims he was raped in an air-raid shelter by one of his corporals while enlisted in the Army. He was charged with indecent assault when he touched a detective on the penis in a public toilet in Adelaide, the capital of South Australia. MacDonald murdered male derelicts in Sydney and Brisbane between 1961 and 1962. He would violently stab victims with a long bladed knife and sever their penis and testicles. He was sentenced to five consecutive life sentences in 1963. In 2015, William MacDonald died of natural causes while still in prison. "
367,Patrick Mackay,   Active for 3 years   (1973-1975) in United Kingdom," Patrick Mackay a British serial killer known as The Psychopath and The Devil's Disciple. Mackay is a suspect in eleven violent murders between 1974 and 1975. He was charged with five murders but only convicted of three. He bragged that he had killed eleven victims. Most of his victims were elderly women who had been stabbed or strangled during robberies. Mackay used an axe to kill at least one of his victims. In 1975, Patrick Mackay was sentenced to life imprisonment. "
368,Michael Madison,   Active for 2 years   (2012-2013) in United States," Michael Madison an American serial killer from East Cleveland, Ohio who committed at least three murders. He registered as a sex offender in 2002 after serving four years for an attempted rape conviction, he also had previous drug convictions in 2000 and 2001. In 2013, Madison was arrested at his mothers house after a short stand-off. Authorities responded to a report of a foul odor at a garage leased to Madison, a decomposing body was found inside. Two other bodies were located each wrapped in plastic bags. In 2016, Madison was convicted of the three murders along with other charges. In 2016, Michael Madison was sentenced to death, at his sentencing he was attacked by the father of one of his victims. "
369,Hiroshi Maeue,   Active for 1 year   (2005) in Japan," Hiroshi Maeue a Japanese serial killer known as the Suicide Website Murderer. Maeue found his victims in an online suicide community. He offered to painlessly kill themselves together by charcoal burning in a car, but once together he strangled them with his bare hands instead, as this excited him sexually. Maeue suffered from a psychosexual disorder which made him unable to achieve sexual release in the absence of performing an act of strangulation. Hiroshi Maeue was hanged on the same day as serial killer Yukio Yamaji, July 28th 2009. "
370,Orville Lynn Majors,   Active for 3 years   (1993-1995) in United States," Orville Lynn Majors an American serial killer who was convicted of murdering his patients in Clinton, Indiana. Majors' was a licensed practical nurse at West Central Community Hospital formally Vermillion County Hospital in Clinton, Indiana. The hospital is now permanently closed. "
371,Jimmy Maketta,   Active for 1 year   (2005) in South Africa," Jimmy Maketta a South African serial killer and rapist known as the Jesus Killer. Maketta pleaded guilty to and was convicted of sixteen murders and nineteen rapes committed over a nine-month period in 2005. Maketta had called authorities twice to tell where his victim's body could be located. In 2005, Maketta was arrested in Constantia following a reign of terror in the Philippi farmlands in Cape Town. In 2007, Jimmy Maketta was sentenced to life imprisonment at a prison in Cape Town, South Africa. "
372,Rainbow Maniac,   Active for 2 years   (2007-2008) in Brazil," Rainbow Maniac Shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba. "
373,Ramadan Abdel Rehim Mansour,   Active for 8 years   (1999-2006) in Egypt," Ramadan Abdel Rehim Mansour an Egyptian serial killer and gang leader known as al-Tourbini (The Express Train). Mansour raped and tortured homeless children, mostly boys aged 10 to 14 years old. The murders took place aboard trains between Cairo, Alexandria, Qalyoubeya and Beni Sueif. The some victims were thrown off the moving train, other victims were thrown into the Nile river and at least one victim was buried alive. In 2007, Mansour and fellow gand ringleader, Farag Samir Mahmoud, also known as Hanata, were convicted by the criminal court in Tanta. Both suspects were also found guilty of illegal possession of weapons. Ramadan Abdel Rehim Mansour was executed in 2010. "
374,Peter Manuel,   Active for 3 years   (1956-1958) in United Kingdom," Peter Manuel an American-Scottish serial killer burglar and rapist known as the Beast of Birkenshaw. Manuel was convicted of murdering seven people across Lanarkshire between 1956 and 1958. He is believed to have killed two other victims. Manuel was the one of the last prisoner to be hanged in Scotland, after a sensational trial in which he conducted his own defense. In 1958, Manuel was convicted of the murders of seven people, one murder case was thrown out of court and another was attributed to him but was never proven. In 1958, Peter Manuel was executed by hanging at Barlinnie prison in Glasgow, Scotland. "
375,Zdzisław Marchwicki,   Active for 7 years   (1964-1970) in Poland," Zdzisław Marchwicki Killed 14 women in 1964–1970 in Poland's region of Upper Silesia. Zdzisław Marchwicki (executed in 1977) was most likely the man responsible for the killings; however, his guilt remains in dispute. Also known as vampire of Silesia. "
376,James Gregory Marlow,   Active for 1 year   (1986) in United States," James Gregory Marlow an American serial killer known as The Folsom Wolf. Marlow and his girlfriend Cynthia Coffman targeted female victims who had just withdrawn cash from ATM machines. They strangled 4 such victims to death, 2 of which were brutally sexually assaulted. Marlow and Coffman both sentenced to death with the addition of a life sentence atop their death penalties. "
377,Richard Laurence Marquette,   Active for 15 years   (1961-1975) in United States," Richard Laurence Marquette an American serial killer also known as Dick Marquette. Marquette was known to drain the blood, mutilate, dismember and scatter the remains of his victims. Marquette was the first person ever to be added as an eleventh name on the FBI Ten Most Wanted List for killing, mutilating and dismembering a woman in 1961. Marquette killed two more with victims using the same modus operandi upon his release from prison in 1973. In 1975, Richard Laurence Marquette was sentenced to life imprisonment with no possibility of parole at the Oregon State Correctional Institution in Salem, Oregon. "
378,Raúl Osiel Marroquín,   Active for 1 year   (2005) in Mexico," Raúl Osiel Marroquín (born Liffny Hassan Odulio Marroquín) a Mexican serial killer known as El Sádico or The Sadist. Marroquín lured men from gay bars to torture and strangle them, abandoning their bodies inside suitcases all over Mexico City. Two other victims were released after demanding a ransom from their families. Juan Enrique Madrid Manuel presumably helped Marroquín abduct the victims. In Marroquín's own words, ""I snuffed out four homosexuals that in some way were affecting society"" "
379,Enriqueta Martí,   Active for 13 years   (1900-1912) in Spain," Enriqueta Martí Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913. "
380,Rhonda Belle Martin,   Active for 15 years   (1937-1951) in United States," Rhonda Belle Martin (born Rhonda Belle Thomley) an American serial killer and poisoner who murdered six family members in Alabama. Martin was executed in Alabama's electric chair on October 11, 1957 at Kilby Prison in Montgomery, Alabama. "
381,Lee Roy Martin,   Active for 2 years   (1966-1967) in United States," Lee Roy Martin an American serial killer known as The Gaffney Strangler. Martin killed two women and two young girls in South Carolina in 1967 and 1968. Martin raped and strangled his victims, multiple victims had cigarette burns and at least one victim was stabbed to death. He was convicted on four charges of first-degree murder and received four life terms. Lee Roy Martin was stabbed to death by fellow inmate, Kenneth Rumsey, while incarcerated at Central Correctional Institution in Columbia in 1972. "
382,Damaso Rodriguez Martin,   Active for 11 years   (1981-1991) in Spain," Damaso Rodriguez Martin (Dámaso Rodríguez Martín) a Spanish serial killer known as El Brujo (The Warlock). Martin was charged with murder, rape theft of a firearm and illegal possession of weapons. He was active in the Canary Islands an autonomous community of Spain located in the Atlantic Ocean. In 1981, Martin was sentenced to fifty-five years in prison for murdering a man and raping his girlfriend. He escaped from prison in 1991 and fled to the Anaga Mountains where he killed two German hikers, the woman was raped. In 1991, Authorities cornered Martin in an abandoned house, Damaso Rodriguez Martin shot himself unsuccessfully and was then shot dead by law enforcement. "
383,DeAngelo Martin,   Active for 2 years   (2018-2019) in United States," DeAngelo Martin (DeAngelo Kenneth Martin) a suspected American serial killer and rapist active in Detroit, Michigan between 2018 and 2019. Martin is suspected of targeting prostitutes, luring victims into abandoned buildings where he would rape and stab victims to death. The bodies of the women, all in their 50s, were found nude and posed in a kneeling position. Investigators collected DNA evidence from condoms left at all three crime scenes. Martin's DNA was recovered from a 26-year-old woman who escaped Martin's attack on May 7, 2019. On June 7, 2019, Martin was arrested at a bus stop in the area of 7 Mile Road and Gratiot Avenue in the east side of Detroit. Detroit Police are investigating Martin in connection with at least three additional murder cases. Martin is due back in court on July 23, 2019, for an arraignment on charges of sexual assault and assault with intent to murder. "
384,Daniel Audiel López Martínez,   Active for 11 years   (1998-2008) in Mexico, Daniel Audiel López Martínez a Mexican serial killer active from 1998 to 2008. He served eight years in prison for a 1998 murder in Chiapas. After his release he moved from Chiapas to Ciudad Juarez where he committed most murders. Martínez killed four women and a little girl in Ciudad Juarez. Daniel Martínez was sentenced to life imprisonment. 
385,Filiberto Hernández Martínez,   Active for 2 years   (2012-2013) in Mexico," Filiberto Hernández Martínez a Mexican serial killer active between 2010 and 2013. Martínez killed six people from 2010 to 2013 in Tamuín, Mexico. "
386,Sergei Martynov,   Active for 19 years   (1992-2010) in Russia," Sergei Martynov a Russian serial killer known as Raschlenytel and the Torso killer. Martynov often mutilated his female victims by removing their breasts and genitalia. In 1984, Martynov was serving in the army and charged for desertion. In 1989, Martynov was released on parole. In 1991, Martynov raped and killed a minor girl and hid her body in a cellar, for which he was sentenced to fifteen years in prison in 1992. He was released on parole in 2004. He was arrested in 2010 at a cafe in where he worked. He was sentenced to life imprisonment for killing eight more women during a violent crime spree between 2005 and 2010. In 2012, Sergei Martynov was sentenced to life imprisonment at the White Swan Colony in Solikamsk, Russia. "
387,Johannes Mashiane,   Active for 8 years   (1982-1989) in South Africa," Johannes Mashiane a South African serial killers and sodomite known as The Beast of Atteridgeville. Mashiane committed thirteen counts of murder and twelve counts of sodomy from 1982 to 1989. In 1977, Mashiane killed his girlfriend and was sentenced to five years in prison, he was released in 1982. Mashiane killed twelve boys by either strangling or stoning them between 1988 and 1989. In 1989, Mashiane committed suicide when he jumped under a bus in Marabastad while being chased by police. Micki Pistorius notes ""Mashiane had a droopy eye and a tattoo of a cross and dagger on his left forearm."" in his 2012 book Strangers On The Street - Serial homicide in South Africa. "
388,David Mason,   Active for 3 years   (1980-1982) in United States," David Mason (born David Edwin Mason) an American serial killer who strangled four of his elderly neighbors. Mason murdered his cellmate when imprisoned on lesser charges in 1982. Mason was also a suspect in the shooting and murder of his boyfriend. Mason was executed on August 24th 1993 in the gas chamber at San Quentin State Prison in San Quentin, California. He was buried in Mountain Shadow Cemetery in Sonora, California. "
389,Bakhtiyor Matyakubov,"   Active for 1 year   (2015) in Russia, Ukraine, Uzbekistan"," Bakhtiyor Matyakubov (Бахтиёр Матякубов) a convicted rapist and serial killer who was active in Uzbekistan, Ukraine and Russia during 2015. Matyakubov was sentenced to life in Ukraine after being convicted of committing three murders. He is now facing a trial in Moscow over the deaths of five women. Evidence against Matyakubov includes CCTV footage of him brutal killing a sex shop saleswoman at the Dzhaga-Dzhaga sex shop in Russia, the victim was stabbed twenty times during the attack. Matyakubov is later due to be extradited to his native Uzbekistan, where he’s accused of killing three more women. Matyakubov was reported to have decapitated at least one Uzbekistan victim before having sex her headless corpse. "
390,Robert Maudsley,   Active for 6 years   (1973-1978) in United Kingdom," Robert Maudsley (Robert John Maudsley) a British serial killer known as Hannibal the Cannibal. His victims were all violent sex offenders, two pedophiles and two murderers. His first victim showed Maudsley pictures of children the victim had molested, Maudsley strangled him to death. He killed a fellow patient while being held at Broadmoor Hospital in 1977 and two other fellow prisoners at Wakefield Prison in 1978. Maudsley was deemed too dangerous for a normal cell. In 1983, He was placed in a two-cell unit in the basement of Wakefield Prison noted for its resemblance to Hannibal Lecter's cell in the film The Silence of the Lambs, released in 1991. Maudsley's glass cage was built several years before the famous film was released. "
391,David Edward Maust,"   Active for 30 years   (1974-2003) in Germany, United States"," David Edward Maust an American serial killer known as Crazy Dave. Maust killed and molested teenage boys, he was arrested in 2003 when the bodies of three boys were found in the concrete floor of his basement in Hammond, Indiana. He was previously sentenced to four years for the manslaughter and larceny in the murder of a 13-year-old boy in Germany where Maust was stationed while in the army. Maust made parole in 1977, arrested again in 1979 and later released in 1981. The same year Maust was convicted again and served seventeen years in prison before his release in 1999. In 2006, Maust committed suicide by hanging himself in his jail cell after his latest conviction in 2005. "
392,Władysław Mazurkiewicz,   Active for 1 year   (1950) in Poland, Władysław Mazurkiewicz a Polish serial killer known as The Gentleman Killer. Mazurkiewicz confessed to having committed 30 murders. He was convicted of six and hanged in 1957. 
393,Bruce McArthur,   Active for 9 years   (2010-2018) in Canada," Bruce McArthur (Thomas Donald Bruce McArthur) a Canadian serial killer known as the 2010–2017 Toronto serial homicides. The 2010–2017 Toronto serial homicides occurred between 2010 and 2017, there was a series of disappearances of men in Toronto, Canada. He was known as Santa for his seasonal employment at a local shopping mall. Authorities found evidence including photographs of victims in his apartment. Authorities found the dismembered remains of several men in planter boxes at a residence where McArthur stored landscaping equipment. He was arrested in 2018 and convicted of all eight murders in 2019. On February 8th 2019, Bruce McArthur was sentenced to eight concurrent life sentences without the possibility of parole for twenty-five years. "
394,Patrick McCullough,   Active for 22 years   (1980-2001) in United States," Patrick McCullough a deaf American serial killer who confessed during the trial for the murder of Clint Riley. He also confessed to a friend and his girlfriend at one point for the two murders of Clint Riley and John Myer. He had an I.Q. of 120 based on the book Deadly Charm: The Story of a Deaf Serial Killer, Vernon, M. & Vernon, M. (2010, page 55). "
395,Kenneth McDuff,   Active for 27 years   (1966-1992) in United States," Kenneth McDuff Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder commuted; killed three days after 1989 parole and ten further times in Waco, Texas until 1992. Executed by lethal injection by the state of Texas on November 17, 1998. "
396,Michael Wayne McGray,"   Active for 15 years   (1984-1998) in Canada, United States"," Michael Wayne McGray a Canadian serial killer who was convicted of the murder of 6 people in the late 1990s, including the drug-related murder of Joan Hicks and her 11-year-old daughter Nina in Moncton, New Brunswick. Claims to have killed 11 others. A psychiatric report delivered to the court earlier this year suggested McGray has an extreme nervous disorder similar to Tourette's syndrome. In 2010, killed a cellmate at the the Mountain Institution medium-security prison in Agassiz, British Columbia. He claims that these demons caused his 15-year killing spree "
397,David Meirhofer,   Active for 8 years   (1967-1974) in United States," David Meirhofer (David Gail Meirhofer) an American serial killer. Meirhofer killed three children and an ex-girlfriend between 1967 and 1974. Meirhofer would kidnap and dismember his victims, his method of killing his victims is unknown. He was the first serial killer apprehended by offender profiling. In 1974, David Meirhofer committed suicide by hanging himself in his jail cell. "
398,Daisy de Melker,   Active for 10 years   (1923-1932) in South Africa," Daisy de Melker (born Daisy Louisa Hancorn-Smith) an South African serial killer and poisoner who poisoned two husbands with strychnine for their life insurance while living in Germiston. Melker also poisoned her only son with arsenic. On 15 April 1932, the police obtained a court order permitting them to exhume the bodies of Rhodes Cowle, Robert Sproat and William Cowle. A week later, the police arrested Melker and charged her with the murder of all three men. Melker was executed by hanging on December 30th 1932 at Pretoria Central Prison, Pretoria, Gauteng, South Africa. "
399,Bruce Mendenhall,   Active for 1 year   (2007) in United States," Bruce Mendenhall an accused American serial killer known as The Truck Stop Killer, The Rest Stop Killer and The Prosti-Shooter. Mendenhall worked as a long haul trucker, he has been charged with the murders of three other women at truck stops in Alabama, Indiana and Tennessee. Mendenhall is suspected for murders in Georgia, Illinois, New Mexico, Oklahoma, and Texas. Mendenhall was arrested at a truck stop in Nashville, Tennessee, his truck was found to contain blood and other incriminating evidence. In 2007, Mendenhall was sentenced to life in prison. In 2010, Mendenhall was sentenced to an additional thirty years in prison for soliciting the murders of three witnesses in his upcoming murder trial. "
400,Nikos Metaxas,   Active for 3 years   (2016-2018) in Cyprus," Nikos Metaxas a Greek-Cypriot serial killer known as the Cyprus serial killer Orestes and the Mitsero murders. Metaxas confessed to killing seven foreign national women and young girls in Cyprus between 2016 and 2018. He worked as a captain in the Cypriot National Guard. He met his victims on online dating sites, killing five women victims as well as killing two of the victims daughters aged six and eight, over a three-year period. Metaxas stuffed some of his victims bodies in suitcases, sinking them in a nearby lakes, wells and mine shafts. He is also accused of the rape of a teenage girl between 2016 and 2017, the victim survived the attack and came forward to file a complaint after his arrest. Nikos Metaxas was arrested on April 18, 2019. "
401,Gennady Mikhasevich,   Active for 15 years   (1971-1985) in Russia," Gennady Mikhasevich (Gennady Modestovich Mikhasevich) a Soviet serial killer known as The Vitebsk Case. Mikhasevich raped and strangled at least thirty-six female victims between 1971 and 1985. The murders occurred in Vitebsk, Polotsk and the rural areas in the nearby regions of the Byelorussian SSR. He robbed his victims of money and other valuable items, some of the items were given to his wife as a gift. Mikhasevich confessed to forty-three murders but was only convicted for thirty-six of the murders. Gennady Mikhasevich was executed on September 25th 1987. "
402,Ivan Milat,   Active for 1 year   (1900) in Australia, Ivan Milat Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices. 
403,Dellen Millard,   Active for 2 years   (2012-2013) in Canada," Dellen Millard a Canadian seriall killer who along with Mark Smich are convicted of murdering 2 people from 2012 to 2013. In 2016 and 2017, the two men were convicted of first-degree murder and were sentenced to two life terms in prison, with no parole eligibility for 25 years served consecutively. On September 24th 2018, Dellen Millard was found guilty of first-degree murder in the death of his father, Wayne Millard in 2012. Millard shot his father through the eye as he slept. He was sentenced an additional 25 years on December 17th 2018, Millard will have to serve 75 years before the possibility of parole. "
404,James Miller,   Active for 2 years   (1976-1977) in Australia," James Miller an Austrian serial killer who along with his partner Christopher Robin Worrell are known to have committed the Truro murders. The Truro murders are a series of murders of young women in bushland east of the town of Truro in South Australia, remains uncovered in 1978 and 1979. Miller argued that he never engaged in any murders directly, he claims Worrell acted alone. Miller was found guilty of six murders and sentenced to six consecutive terms of life imprisonment with a non-parole period of 35 years. He died of cancer in 2008. "
